neonVariable,neonVariableDescriptor,targetLipid,targetGroup,targetGroupBroad,Citation,Notes,Citation2
c18To0ScaledConcentration,"octadecanoic acid, or stearic acid, methyl ester, c18:0",18:0,,Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
aC15To0ScaledConcentration,"12-methyltetradecanoic acid methyl ester, a-c15:0,",a15:0,Gram-positive Bacteria,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,UNCERTAIN,
i16To0ScaledConcentration,"methyl 14-methylpentadecanoate, i16:0","i16:0, 14-methylpentadecanoic acid",Gram-positive Bacteria,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
i17To0ScaledConcentration,"methyl 15-methylhexadecanoate, i17:0","i17:0, 15-methylhexadecanoic acid",,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid10Methyl17To0ScaledConcentration,"heptadecanoic acid methyl ester, 10 Me-17:0",10Me17:0,Actinobacteria,Gram-positive Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid2OH10To0ScaledConcentration,"methyl 2-hydroxydecanoate, 2OH10:0",2OH10:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid2OH12To0ScaledConcentration,"methyl 2-hydroxydodecanoate, 2OH12:0",2OH12:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid2OH14To0ScaledConcentration,"methyl 2-hydroxytetradecanoate, 2OH14:0",2OH14:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid2OH16To0ScaledConcentration,methyl 2-hydroxyhexadecanoate 2OH16:0,2OH16:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid3OH12To0ScaledConcentration,"methyl 3-hydroxydodecanoate, 3OH12:0",3OH12:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
lipid3OH14To0ScaledConcentration,"Concentration of methyl 3-hydroxytetradecanoate, 3OH14:0",3OH14:0,,Gram-negative Bacteria,Lewe et al. 2021 https://www-sciencedirect-com.ezproxy.bu.edu/science/article/pii/S0167701221001391#s0150,,
